precipitacao;temperatura;umidade;velocidade
0;21,8;64,75;1,333333
0;21,58;55,75;3
0;21,36;60,25;0,666667
0;21,16;63;1,666667
0;20,18;70,75;1
1,5;19,92;82,5;0
13,6;19,74;87,25;1,02888
10,6;19,64;72,5;0,68592
0;19,64;65;0
0;20,58;54,75;1,68592
0;19,94;64,5;1,34296
0;21;66,25;1,34296
0;21,84;70,25;0,68592
7;21,22;76,25;1
4,6;21,32;76,25;0
0;21,56;77,5;2
15,4;20,52;84,75;3
0;20,12;84,5;1
0;18,32;81,75;3,009627
0;18,84;70,5;3
0;18,28;65,5;2,009627
0;19,14;62,75;1,34296
0;19,28;66;2
0;20,8;61,75;0
0;21,48;66;0,68592
0;21,24;66,5;2,34296
3,7;19,56;67;1,666667
0;18,94;63,75;2,34296
0;18,88;60,5;2,34296
0;19,02;63,5;0
0;20,8;59;1,02888
0;19,64;53,5;3,009627
0;19,44;55,75;1,68592
0;19,96;55,75;1
0;19,1;65,25;1,34296
0;18,66;64,25;0
0;18,92;61,75;0,68592
0;19,7;57,75;2
0;20,28;63;0,34296
0;21,34;59,75;1,34296
0;21,42;70;1,34296
0;21;72,25;0
0;21,16;66,5;1,009627
0;21,48;63,5;2
0;22,78;57;1
0;21,78;60;2,34296
0;21,1;63,75;1
0;21,64;58,25;1,333333
0;20,32;59,5;1,34296
0;20,74;53,75;1,34296
0;21,02;51,75;1,676293
0;20,66;52;2,666667
0;20,1;48;4,666667
0;20,22;61,25;3,666667
0;20,12;64,75;1,009627
0;19,4;64,75;2,009627
0;20,5;57,75;1,666667
0;21,22;51,75;3
0;21,32;52,75;1,333333
0;19,96;68,5;2,34296
0;20,74;66;1,352587
0;20,26;68,25;1,68592
0,1;19,94;72,25;1,676293
27,4;18,44;79,25;3,009627
0,2;19,1;61,5;0
0;17,42;52,75;1,34296
0;19,08;46,5;2,34296
0;19,1;63,25;2
0;20,08;65;1,02888
0;20,9;46,25;2,666667
0;20,22;44,75;0
0;20;53;2,666667
0;20,64;55,5;2,352587
0;19,52;53,25;1,666667
0;17,08;48,75;2
0;18,5;51,75;3
0;16,92;58,25;1,34296
0;15,78;67,75;1,352587
0;14,24;59,25;0,68592
0;16,04;55,75;1
0;18,02;61,5;1,676293
0;17,14;62;2
0;15,62;59,25;1
0;16,58;53,25;1,352587
0;17,06;49,25;0,68592
0;17,98;47;0,666667
0;17,5;47,5;1,333333
0;18,32;41,25;3
0;16,76;53;0
0;17,94;44,25;1,352587
0;18,4;44,75;3,666667
0;18,42;44;3,333333
0;18,98;46;1,676293
0;18,9;55,25;0,68592
0;19,74;51,25;1,009627
0;20,6;55,25;0,68592
0;21,14;47;2
0;19,46;44,75;2
0;18,42;38,25;0,34296
0;19,94;47;3
0;21,72;51;2,34296
0;17,98;54,5;3,666667
0;17,66;44,25;4,333333
0;18,66;49,75;1,666667
0;19,44;44;1,352587
0;19,12;44;1,34296
0;19,98;44,5;1,02888
0;16,3;41,25;2
0;17,48;52,5;1,68592
0;18,66;56;1,34296
0;19,12;54,5;2,676293
0;17,92;54;1
0;19,48;44;1
0;19,78;39,25;2,333333
0;18,08;48,25;4,333333
0;17,8;59,5;2,533333
0;17,22;60,5;2,676293
0;18,06;49,5;3,666667
0;19,1;51,75;0,34296
0;20,1;52,5;1,352587
0;20,66;45;2,34296
0;22,02;32,5;2
0;21,24;35,75;2,34296
0;21,52;34,25;3,009627
0;22,04;35;3,666667
0;21,5;37,25;2
0;21,98;34,75;3
0;21,94;33,75;4,333333
0;20,34;42,75;4
0;20,24;43,25;3,34296
0;20,3;39,75;1
0;21,7;38,75;2,676293
0;22,6;35;3,009627
0;22,8;32,75;2,666667
0;23,14;33;1,8
0;24,24;30,5;2,34296
0;24,68;33,75;2,333333
0;22,92;40,5;3,333333
0;21,64;50,5;3,666667
0;20,54;58,5;4,666667
2,8;21,4;46;2,333333
0;20,54;49,25;3,666667
0;21,9;44,75;1,34296
0;21,9;43;2
0;22,88;35,25;2,009627
0;24,48;35,75;1
0;25,08;34,25;1,009627
0;26,88;26;2,34296
0;26,16;34,75;3,333333
0;26,3;31,5;2
0;25,12;32,25;0,68592
0;25,6;26,75;2,009627
0;26,44;29;3,009627
0;25,82;26;3
0;24,88;33;1,666667
0;26,92;23,75;1,676293
0;26,06;24,25;3,666667
0;23,9;29;6
0;24,3;40;1
0;25,84;17,75;4,333333
0;26,34;29;1
0;26,5;34,75;2
0;27,16;32,75;1,666667
0;25,94;47,75;4,333333
0;24,14;56,25;1,333333
2;21,44;72;2
2,9;23;56,75;1
0;23,9;47;1
0;25,02;38,5;2,333333
0;24,9;51,5;2,34296
6,1;24,18;55;0
0;24,44;65,5;1
6,8;21,24;70;0
0;23,94;57,75;2,333333
0,8;25;55,25;0
0;26,14;40,5;2,676293
0;26,18;36,25;2,666667
0;26,84;38,75;0
0;26,1;48,25;3
0;25,38;53,25;0
0;21,6;79,5;3,009627
57,2;21,68;73,25;1,352587
0;23,44;70,25;2,34296
16,4;22,88;80,25;0
0;22;80,25;2,009627
24,6;23,4;62,25;2
0;22,72;74,75;1
0;23,56;64;1,7148
0;22;74,5;1
1;21,3;84,75;1
1,3;23,2;68,75;1,666667
9,6;22,28;79,5;1,34296
0,6;21,14;85,25;0,68592
3,6;22,46;70,25;1,333333
0;22,56;71,75;3
0;22,58;78;1
4,3;23,26;72,5;3
0;24,2;50,5;3,666667
0;24,44;51,25;4,666667
0;24,72;47,75;2,333333
0;21,6;70,5;2,333333
9,4;20,22;90;2,666667
8;21,14;74;4
0;21,34;77,5;2,666667
0;21,24;82,75;1,666667
0;21,6;87,25;1,676293
3,6;20,86;87;2
32,4;23,42;67,25;0
0;21,4;79,5;1,352587
0,2;21,34;88,75;1,34296
38,8;21,3;81;2,333333
0,3;21,2;86,25;2,333333
23,9;20,28;87,5;2
10,2;20,84;90,25;2,333333
15,8;20,9;90,5;1,333333
8,4;19,22;92,75;3
24;18,96;86,25;3,009627
7,8;19,68;87;2,333333
1,2;21,38;80,75;2,34296
1;19,88;90,75;1,34296
25,8;21,62;79;2,333333
27,2;21,92;83,5;0,68592
0,9;22,16;88,25;0,34296
18;22,2;76,75;1,37184
24,4;22,1;79,25;0,68592
1,6;21,68;74,25;0
0;23,9;47,75;2,666667
0;23,78;57,25;1,666667
0;23,22;75;4,666667
2,5;22,4;79,5;4
31,2;20,92;85,25;2,009627
26,8;21,78;80,25;0
2,7;21,74;86,5;2,666667
34,3;21,74;89,5;0,68592
0;22,06;83,5;0,68592
69,2;20,7;87,5;2,009627
0;20,9;80;2
0;22,02;80,5;2,333333
19,5;22,68;71,5;2,009627
8;20,9;82,75;1,34296
7,8;21,26;80,25;1,02888
0,2;22,74;78;0,34296
0;21,82;86,5;2
10,8;22,26;82,75;3,009627
13;21,08;85;3
33,4;21,82;78,25;1,68592
0,8;21,52;86,75;2,352587
1;21,62;81,25;0
1,9;22,04;84;2,666667
10,7;21,9;78,25;0
1,7;21,48;90;0
58,7;21,42;83,25;2
7,1;22,14;86,25;1,676293
15,6;22,56;80,25;0
6,5;21,76;83,25;3
13,1;18,62;85;1,676293
6,7;20,82;72,5;2
0;22,34;65;3
0;22,2;74;1,68592
0,9;21,24;82,5;1,02888
0,3;21,58;78,5;2
5,8;19,84;89,5;2,009627
21,8;19,42;91,25;2,333333
6,4;19,42;95;2,009627
23;20,48;91,75;1,34296
1,8;21,54;80,5;1,34296
12,3;21,08;83;2,009627
0;22,54;71,25;2,666667
0;21,76;78,5;2,333333
3,7;20;87,5;2,666667
14,7;20,34;90,25;2,666667
17;19,42;93,25;3,333333
6,8;20,16;92,5;3,676293
21,4;19,68;92,75;2,009627
19;19,96;91,5;4,333333
1,8;20,92;78,25;3
0,1;22,6;59;3,009627
0;22,94;50;3
0;22,3;60;2
0;23,6;60;2,34296
0;23,76;56,25;1,666667
1,8;22,88;64,75;1,676293
0;23,68;43,75;3,666667
0;21,96;75;1,009627
4,3;23,64;60;1,34296
0;24,08;60,25;1,666667
0;25,44;45,75;1,676293
0;22,32;75,25;1,666667
0;20,82;76,5;1,34296
1,2;21,16;76,25;2,333333
0;21,4;70,25;2
1,8;21,22;67,5;3,666667
