precipitacao;temperatura;umidade
11;17,2;89,5
1,8;17,42;81,25
0;20,3;62,5
0;21,32;71,25
0;23,26;58
3,6;20,74;73
26,5;22,66;58
0;22,36;80,25
49,6;21;78,5
6,4;20,32;85,25
0,7;22,18;74,75
0;21,86;84
22,8;20,86;89,75
89,2;20,66;85,5
11;22,56;66,75
0;22,38;74
20;20,1;71,25
2,6;19,44;81,5
4,4;20,56;78,25
6;22,2;69,25
0;21,64;77,5
17,4;20,98;84,5
2,4;20,78;80
40,4;20,68;80,25
0;22,14;79,25
0;null;77,5
14,5;20,58;81,25
1,3;19,88;77,25
0;21,24;82,5
8,4;20,98;81
1,8;20,32;83,5
19,5;21,26;83,5
2,8;21,4;77,25
33,7;20,78;81,5
0;21,84;86
1;22,68;79
19,6;20,76;83
31,9;20,56;81,5
0;22,86;63,75
0;22,98;71,5
0;21,56;80,75
0,1;21,46;87,75
11,7;19,66;89,25
6,7;20,4;90
22,6;19,78;88,75
1,3;20,84;88,25
13,8;21,24;79
0;20,1;88
2,5;19,96;85,25
5,6;21,76;72,25
3,2;20,74;86,5
19,4;21,6;80,25
4,6;20,66;88
41,3;19;94,25
21,6;21;75
0;21,52;81,5
0;22,8;70
0,2;21;81,5
9,2;20,58;87,25
0,3;22,6;73,25
0;22,4;70
13,4;21,76;82,25
0,4;21,14;76,5
0,2;22;75,75
3,4;19,64;90
3,1;21,02;80,5
7,1;20,82;83,75
0,5;20,2;83,75
2,4;22,3;66
0;20,92;85,5
29,7;21,16;78
5,7;20,32;90,25
14,1;21,7;78
24,4;21,94;76,75
0;23,06;64,5
0;23,04;56,75
0;22,3;65,25
4,2;21,04;81,75
1,2;21,08;84,5
0,4;20,96;82,25
0;21,28;77,5
0;21,24;79,25
0,2;22,04;74,25
6,5;21,72;80,25
15,7;20,28;86,75
5,1;20,66;80,5
8,8;21,84;74,75
15,6;21,06;80
1,3;21,32;78,5
0,6;22,7;70,5
0;23,28;57,5
0;23,34;61
0;22,02;75,5
0,3;21,82;80,25
0,1;22,58;85,25
10;21,24;85,5
9,4;23,66;60
0;23,2;61,75
0;22;79,75
1,2;23,86;62,75
0;23,58;59
0;23,74;68,5
0;23,64;70
0;24,58;40
0;25,26;57,25
0;24,02;63,75
0,2;22,9;68
0,5;21,12;83
6,6;22,34;67,5
3,7;22,16;70,25
0;21,1;79
20,4;20,62;83,75
1,7;21,6;81,25
0;21,8;74,5
0;23,48;65,25
0;23,82;62,5
0;24,02;52,5
0;23,32;64,75
0;21,5;81,5
12,3;21,2;81,75
6,7;21,8;78
1;22,64;60
0;23,18;60,5
0;23,18;70,25
27,6;21,54;78,25
4,4;20,46;80,25
13,3;22,16;80
2;21,6;83,75
0,4;21,4;76
0,1;22,02;75
1,6;21,88;83,25
0;21,12;82,25
0;21,14;81
17,8;19,9;82,25
28,7;20,1;88,75
1;20,7;78,5
0;21,38;71,25
0;20,14;82,5
20,4;20,46;91,25
5,2;20,7;78
0,1;21,78;78,25
2,3;22,36;60
0;22,24;57,25
0;23,72;51
0;24,22;60,25
0;23,12;69
0;22,52;62,25
0;22,16;57,75
0;23,2;55
0;22,92;59,5
0,2;20,24;79,5
1,3;20,18;80,25
0,6;21,02;71,25
0;21,24;79,25
6,7;22,6;71,75
0,2;20,9;89,75
4,9;21,98;80,5
2,1;21,72;81,25
0;20,8;85,75
72;21,4;78
0;21,08;82,75
0;21,08;90,25
13,8;21,84;79,25
9,8;22,34;73,25
0;22,56;75
14,8;22,02;78,25
1,2;22,62;73,75
0;21,82;73,5
0;20,1;86,75
18,6;21,22;66,5
0;19,24;90
0;20,06;75,75
0;19,98;77,25
0;21,54;68,5
0;21,98;65,75
0;21,42;75
28,6;21,5;78
0;21,5;80,25
4,6;20,66;85,5
31;20,3;65,5
0;20,36;67,75
0;20,56;66,75
0;21,34;70,25
0;21,36;67
0;19,84;73
0;20,28;63
0;20,68;64,75
0;20,8;65,25
0;21,14;64
0;21,28;72,75
1,1;20,92;69,5
0;19,5;63,25
0;20,06;63,75
0;21,3;62,75
0;20,3;65,75
0;19,98;66
0;21,24;43,25
0;18,86;56,5
0;18,98;55
0;18,28;57,25
0;18,38;57,75
0;18,36;63,75
0;19,24;65,25
0;19,56;65,75
0;19,8;67,75
0;20,5;63,75
0;20,54;66,25
0;22,16;53
0;20,88;59,25
0;20,48;73
0;20,46;70,5
0;19,74;64,5
0;19,48;58,5
0;18,48;60,5
0;18,2;62,75
0;19,08;54,5
0;18,74;56,5
0;19,3;56,5
0;19,18;67,75
0;20,6;58,5
0;20,42;61,5
0;22,4;56,75
0,5;22;54
0;21,54;51,75
0;21,78;53,5
0;20,18;71,25
1,7;18,48;85,5
0,2;19,44;58,75
0;19,96;59,5
0;18,9;58
0;17,54;60,25
0;18,48;51,5
0;18,02;56,75
0;18,34;53,25
0;17,56;58,25
0;17,9;61,25
0;19,5;57,5
0;18,18;42,25
0;17,72;64
0;18,8;65,25
0;17,92;60
0;17,26;49
0;18,08;47,5
0;18,18;49,75
0;16,88;51,75
0;16,76;59,5
0;18,36;43,75
0;18,28;55,25
0;18,78;53,25
0;20,46;45,5
0;20,44;54,75
0;21,2;47,25
0;21,1;49,75
0;19,82;67,75
0;19,78;54
0;21,5;49,25
0;22,64;51,75
0;22,26;42,75
0;21,7;43
0;19,74;50,75
0;18,54;63,75
0;18,86;63,25
0;19,44;50,75
0;19,34;64,25
0;20,68;49
0;19,98;39
0;20,24;40,75
0;20,28;51
0;20,06;57
0;21,32;46
0;21,06;47,25
0;21,56;45
0;20,38;46,5
0;19,58;43
0;20,12;41
0;21,54;36,25
0;21,86;28
0;21,38;40,25
0;21,36;37
0;21,8;44
0;22,34;46,5
0;22,48;39,25
0;21,68;40,5
0;22,32;35,5
0;21,44;43
0;20,28;42,75
0;20,04;49,25
0;20;52,25
0;22,38;43,75
0;22,7;46
0;20,48;57
0;21,16;47,5
0;22,72;38,5
0;24,66;29,25
0;23,78;50,5
0;24,66;52
4,5;23,22;61,5
0;22,72;70,75
4,5;21,28;80,25
4;22,06;77,5
8,9;21,4;77,75
0;21,94;68,75
23,2;22,3;71,75
17,6;23,64;58
0;24,5;52,75
0;24,36;53
0;25,36;52
0;23,22;56,75
0;21,68;51,5
0;22,28;45
0;23,18;37,5
0;25,34;40,25
0;22,46;35
0;23,2;43,25
0;24,56;48
0;23,92;55,75
0;22,58;63
0;23,82;53,5
0;24,78;47
0;25,08;43,5
0;25,28;36,25
0;25,84;31,5
0;25,46;38,5
0;26,48;33,75
0;26,74;33,25
0;26,58;39,25
0;26,8;47,75
0;26,82;48,75
0,1;25,36;64,25
0,4;25,14;60,25
7,9;23,48;71,25
0;24,54;61
0;25,94;53,75
